baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT2G13360	97.4145749894646	-0.739901272150629	0.240495166002525	-3.07657440458849	0.00209394036313833	0.0305925240649525
AT2G13810	26.5699823456412	-2.50728831933476	0.495104759897213	-5.06415716919242	4.10211121837822e-07	1.63820297633945e-05
AT2G15620	11927.6197806471	-0.615388522184062	0.0623239281821103	-9.87403297792621	5.39508090796752e-23	6.85305277261464e-21
AT2G17710	804.166986353459	-0.568919196471444	0.118462132511956	-4.80254056218367	1.56665070126611e-06	5.68578256228868e-05
AT2G18470	86.1500512866169	-0.910830765841272	0.261903884517062	-3.47772912005791	0.000505680669018935	0.00963868840443351
AT2G18700	671.753902637312	-0.643557934249046	0.158471828677942	-4.06102421873942	4.88579023267436e-05	0.00128456075868044
AT2G21210	26.9750815179263	-1.93904154889899	0.579303774458539	-3.34719301753448	0.000816343480875716	0.0142377325374238
AT2G21650	50.8607873019086	-0.995504960391011	0.343653393263748	-2.89682854848745	0.00376955703291208	0.0480561545320339
AT2G21900	18.5473235750569	-2.25497355783288	0.611980429218824	-3.68471514801754	0.000228958555542066	0.00491131241318413
AT2G22122	1132.99014998612	-1.16567221339291	0.119765474131048	-9.73295702998204	2.18157146429705e-22	2.67445441256788e-20
AT2G22860	354.08151426424	-0.525960634163685	0.168856027514803	-3.11484666496478	0.00184040553626855	0.0275225469062118
AT2G24580	363.516694515684	-0.650257364028956	0.13192124512417	-4.92913300975068	8.2595330038161e-07	3.13802725979219e-05
AT2G24720	138.445756272963	-0.583563319860563	0.195109284509569	-2.99095617785397	0.00278105399967926	0.0380047340487601
AT2G25090	343.625172998886	-0.644789038630715	0.133577339641859	-4.82708399762635	1.38546695948708e-06	5.07186741453898e-05
AT2G25160	207.229279848932	-0.526103715392111	0.168435567474861	-3.1234716234778	0.00178731098809089	0.0270159422902398
AT2G25900	579.774118368987	-0.867654763362763	0.150633391219107	-5.76004268602501	8.40926670407801e-09	4.14293919911656e-07
AT2G26480	174.760101518845	-0.799493187234782	0.208083235016994	-3.84217972759549	0.000121946484712537	0.00284442873523071
AT2G26500	130.681048270895	-0.698467412138727	0.203782988887292	-3.42750597560935	0.000609152896851937	0.0112277954397027
AT2G27830	343.361764882072	-0.664561897220634	0.166120339739096	-4.0004848188029	6.32128425971125e-05	0.00161173639540836
AT2G28120	265.323936588575	-0.519493548565239	0.149731517992295	-3.46950031316702	0.000521427459746869	0.00984316868059308
AT2G28830	33.5415012818332	-1.40073538024344	0.462562183341979	-3.02820989412326	0.00246007154215699	0.0344671551746991
AT2G29320	93.4453884134136	-1.34564573165333	0.253453443075061	-5.3092422629067	1.10081931006333e-07	4.83580749416572e-06
AT2G31945	61.5988176245086	-1.13828109419298	0.314643614989736	-3.61768375382451	0.000297251284798218	0.00615701433325662
AT2G32270	823.220689511832	-0.950399290683395	0.112607111827211	-8.43995796767904	3.17451799594968e-17	2.98829850279442e-15
AT2G34500	149.636980410517	-1.3682643001129	0.220707158276415	-6.19945592520963	5.6658680836988e-10	3.30028990090809e-08
AT2G34610	94.6590373120543	-1.1169362643286	0.269896333404541	-4.13838991526589	3.49751616220976e-05	0.000946708931917265
AT2G36885	231.949945250009	-1.52224814883668	0.180073749072066	-8.45347062901145	2.82769093599897e-17	2.6737529630706e-15
AT2G37130	2766.85656525342	-0.975111798046567	0.0594436718535647	-16.4039630736252	1.79159572745163e-60	6.09315927565244e-58
AT2G37180	1677.48587826452	-0.5165916715877	0.117107221845235	-4.41127082897084	1.02765683196805e-05	0.000319133607641801
AT2G37970	551.153084742886	-0.536495989459318	0.108525105853501	-4.94351961456308	7.67246267191296e-07	2.92552527848023e-05
AT2G38380	7561.11480907353	-0.668701584448236	0.0769824304239017	-8.68641819654236	3.74046076273023e-18	3.68557736649204e-16
AT2G38460	134.759740789977	-0.736233189902926	0.208554669062838	-3.53016881957746	0.000415294583022579	0.00817099247120694
AT2G39040	231.744109703105	-0.700345484322054	0.17868539476672	-3.91943328796614	8.87574242372723e-05	0.0021605466702013
AT2G39730	426.885534853443	-0.916474530673365	0.142727685915722	-6.42114054321968	1.35257077762558e-10	8.46299923353498e-09
AT2G40300	48.9517975350175	-1.89451846661831	0.451911267167797	-4.19223552112691	2.76219013185862e-05	0.000762350014664541
AT2G41810	154.971482850672	-0.796353034067204	0.217305136808683	-3.66467652703635	0.00024765138165644	0.00529075687295612
AT2G42250	85.6698766052911	-7.12570049000278	0.78936591844595	-9.02711951895691	1.76249877628137e-19	1.83074133973739e-17
AT2G42850	221.051859000009	-1.04343732165317	0.187858822578371	-5.55436953842222	2.78615508163572e-08	1.2997536737029e-06
AT2G45220	1583.14746206167	-0.563746724166593	0.0989375477849103	-5.69800583083154	1.21216906701839e-08	5.93034731952431e-07
AT2G47160	1780.95998190704	-0.955003458322079	0.113497590752612	-8.41430599530241	3.95227789657299e-17	3.6712657148519e-15
AT2G47490	96.3478733501386	-10.1563949927877	1.26311359653966	-8.04076135401562	8.92819875277078e-16	7.77933879755887e-14
AT2G48010	443.857376070156	-0.500747117362938	0.150215873567996	-3.33351666151496	0.000857555352736411	0.0147973912993453
AT3G02850	750.730848330784	-1.24280558273061	0.118873039021064	-10.4548987134954	1.39147373533611e-25	2.03754272106231e-23
AT3G04330	177.745225892929	-0.592083136858753	0.189015845730023	-3.13245238552351	0.00173352542784847	0.0263350988268105
AT3G04640	253.531271189407	-0.541872966495531	0.18800546481005	-2.88221923252608	0.0039488488121571	0.0496514168474326
AT3G04720	2637.96655892099	-0.698460466296137	0.125248089614311	-5.57661572681049	2.45242785998237e-08	1.15686563435321e-06
AT3G05770	38.2642150572592	-1.44896864432135	0.453910370539593	-3.19219109842956	0.00141197882315405	0.0226582842199591
AT3G06850	437.703663663326	-0.53470970888046	0.161606841440509	-3.30870713216246	0.00093727825051081	0.0159511292899685
AT3G07350	66.7730935628126	-0.936379231463978	0.29258855528823	-3.20032760865013	0.0013727145985484	0.0220786117658212
AT3G07670	124.21343610381	-1.17802890488486	0.310480253746974	-3.79421522196028	0.000148111163080812	0.00338727980989371
AT3G08890	280.38779559081	-0.606931447289512	0.158587062853846	-3.82711828044171	0.00012965222293131	0.00300422722277978
AT3G09220	1133.35268685376	-1.85292338118156	0.0905086580659491	-20.4723329322972	3.79987504904523e-93	1.86335268102716e-90
AT3G11050	81.7676437791791	-2.10869773426183	0.294410273075551	-7.16244617496991	7.92499890820837e-13	5.90482427485801e-11
AT3G11840	135.001142867367	-0.761131689151365	0.239239122829841	-3.18146831566809	0.00146530549982263	0.023196270097042
AT3G11900	406.390664293589	-0.827156945414641	0.160666342893952	-5.14829011799071	2.62871697906309e-07	1.09327665129239e-05
AT3G12500	1015.03510141603	-1.00044466273802	0.114873888909072	-8.70906933019323	3.0637984998239e-18	3.06176564773871e-16
AT3G13840	28.0344988928478	-6.50561933965447	1.11007969032634	-5.86049758080159	4.61482261462037e-09	2.367594882041e-07
AT3G14440	60.3295182607645	-1.4761230550872	0.349592737213404	-4.22240767028898	2.41706422424094e-05	0.000684110284997912
AT3G14680	1358.30807715365	-0.593958539114796	0.100488406977832	-5.91071703670082	3.406217236668e-09	1.782220760605e-07
AT3G14770	335.265373779533	-0.568349059807346	0.173156256032084	-3.28229007043232	0.00102967623601807	0.017300201683408
AT3G16240	1790.68785938219	-0.521580793070931	0.131319700824588	-3.97183963865131	7.13197256154705e-05	0.00179671174949559
AT3G16350	401.92697216405	-0.831230645312121	0.129017940438981	-6.44275239927001	1.17326018805926e-10	7.38488487325900e-09
AT3G16400	9566.52341387633	-0.609392779623477	0.0862020028712177	-7.06935754768813	1.55652623808435e-12	1.1278664005583e-10
AT3G20510	1126.14981449961	-0.663283403591145	0.0957232403635672	-6.92917833821675	4.23291915580714e-12	2.97517777731164e-10
AT3G23170	243.653258973119	-0.60180805016247	0.195721841987054	-3.07481292865759	0.00210634625251181	0.0307366208169301
AT3G25190	1017.72941509921	-1.10435247583778	0.0857054829992828	-12.8854355309686	5.43677133748667e-38	1.19416417106504e-35
AT3G25790	238.671585721539	-0.645395164959217	0.166154881225483	-3.88429855445157	0.000102625739834494	0.00245905267062516
AT3G26290	479.439164684781	-0.747134705953532	0.110592053278461	-6.75577208131142	1.42076614026908e-11	9.51056343927425e-10
AT3G26470	289.994298748183	-0.562212202696488	0.176473903734721	-3.18580929416973	0.00144349715115028	0.023011750851455
AT3G28510	67.4610044626606	-1.12052966910148	0.309462435130127	-3.62089075086062	0.000293590476387367	0.00612139457061427
AT3G29240	415.371633257297	-0.581282798552895	0.185378736142927	-3.13564980885794	0.00171473824597593	0.0261197519280345
AT3G43670	628.894235653303	-1.2536206233325	0.12516218622925	-10.015969368227	1.296842796453e-23	1.70907670037549e-21
AT3G45640	1581.98352304998	-0.572670699269588	0.17493883619968	-3.27354812521976	0.00106206303428659	0.0177313231519929
AT3G45710	1139.01391236565	-0.877243555205707	0.119497187715421	-7.34112301701052	2.11809012805278e-13	1.64804606790114e-11
AT3G46700	787.284291020134	-0.738373809681199	0.121850760365239	-6.05965697274251	1.36412145999422e-09	7.52980761922465e-08
AT3G47470	350.42926196705	-0.598502338277009	0.168201534685968	-3.55824540718022	0.000373340421090836	0.0074547879915922
AT3G47710	186.129999642354	-0.806990279291864	0.190316524336168	-4.24025334692655	2.23267649851366e-05	0.000635333557998098
AT3G49160	103.226561875674	-2.80549761572826	0.260086532777559	-10.7867854047164	3.97449435129198e-27	6.30121713468742e-25
AT3G49960	460.107352302039	-0.854337390305912	0.198398921715085	-4.3061594434107	1.66113345230766e-05	0.00049125750316072
AT3G53980	1497.0901432578	-0.539647796216131	0.116640408279107	-4.62659385523425	3.71728454518783e-06	0.000127451482796472
AT3G56010	98.0502879719774	-0.818681671179365	0.243429449130567	-3.36311680490331	0.000770677477864009	0.0135420877485337
AT3G56090	811.951566218582	-0.998816043543433	0.0971333081310486	-10.2829406592007	8.41210679607091e-25	1.17468664835729e-22
AT3G56240	2702.6631170456	-0.764982602478121	0.0858718751827325	-8.9084185113026	5.17656625757671e-19	5.24774404361838e-17
AT3G56940	521.864348572876	-0.537192558981622	0.121238030278377	-4.43089150943943	9.38442976481888e-06	0.000294903257855396
AT3G62260	471.284936497966	-0.57950222075155	0.185161319140374	-3.12971533926165	0.00174975772534251	0.0265380657284599
AT3G62930	92.2396190175762	-0.779052610686781	0.263318956610309	-2.95858916014055	0.00309050823933602	0.0414544890169462
AT4G01430	386.505822915079	-1.70620630343281	0.140213735705965	-12.1686102637676	4.56793520837526e-34	9.26148863498085e-32
AT4G02520	2489.59287136366	-0.62042281813912	0.0778119302556943	-7.97336367444396	1.54412926002998e-15	1.32355729987773e-13
AT4G03280	116.965107681318	-0.833430359794802	0.259988837254523	-3.20563901356616	0.00134762934554008	0.021691688839739
AT4G04640	274.855590655423	-0.669302522363553	0.150487349384157	-4.44756668984175	8.68484998629816e-06	0.000274555842295477
AT4G04770	1024.50068836096	-1.14184873012047	0.0918584841854203	-12.4305200575224	1.78469489793221e-35	3.68941927625477e-33
AT4G04840	52.7675446989842	-1.10677362779835	0.342509467118274	-3.23136652866931	0.00123199846945812	0.0200446911473719
AT4G04990	62.218701643722	-1.92003369569781	0.303699715920617	-6.3221451817218	2.57956841967352e-10	1.58118545631499e-08
AT4G05180	113.114322821626	-0.752669846377289	0.237153368358315	-3.17376831536325	0.00150473750059874	0.0237128608013469
AT4G05390	1634.20428385229	-0.511091125148906	0.0826931534345745	-6.18057364994882	6.38690908341387e-10	3.68970862829767e-08
AT4G08290	213.337060295644	-1.16889093287085	0.241123008649641	-4.84769553688376	1.2490389760699e-06	4.5963762389895e-05
AT4G08390	2133.97242280709	-1.00717166726368	0.0825308785957339	-12.2035737944481	2.97475222956607e-34	6.08986655462428e-32
AT4G08770	4053.1329124064	-0.709135119879068	0.0762673040850598	-9.29802263743557	1.43081776775065e-20	1.61338093319734e-18
AT4G11190	619.777877104054	-0.507160500869331	0.116424530391827	-4.35613095592897	1.32381593124675e-05	0.000402218771271888
AT4G11290	1601.26521576052	-0.58949595591822	0.0815021879857566	-7.23288503642676	4.72839660762591e-13	3.61242648073913e-11
AT4G11650	3867.48512778311	-0.523212753447687	0.11759037994681	-4.44945201881613	8.60896593168607e-06	0.000272851666688815
AT4G11655	26.2630989662334	-1.55559187288904	0.493185940962198	-3.15416913518277	0.00160955773493857	0.0249003187079345
AT4G13250	152.141086202423	-1.17607852826262	0.192931634832938	-6.09583041827748	1.0887078170827e-09	6.10545027420367e-08
AT4G15393	3316.03469060766	-0.595584591365204	0.0706782395908772	-8.42670381736672	3.55538269767279e-17	3.33194664725015e-15
AT4G16260	5643.25194427347	-0.578228471567117	0.0987447787850561	-5.85578780652072	4.74754071753686e-09	2.42388967481797e-07
AT4G17250	204.047986039471	-0.629895781774701	0.207227747223654	-3.0396305041857	0.00236868554610777	0.0336111059389156
AT4G17360	33.4193154255767	-1.3410988685233	0.459434848440506	-2.91901860095178	0.00351135270687289	0.0454835068672308
AT4G17500	746.01839381294	-0.526451076046901	0.17770599223664	-2.96248353485942	0.00305168130332848	0.0410381071186125
AT4G18197	150.608933065117	-0.798551723586896	0.246995548187564	-3.23306120068403	0.00122471322464789	0.0199415467605601
AT4G18340	2397.01022622052	-0.615514910012491	0.129757778001316	-4.74356851275803	2.09985878623091e-06	7.4667154074983e-05
AT4G18550	366.484327405619	-0.645639931840669	0.165602597137699	-3.8987307143729	9.66982392297178e-05	0.00233292800045518
AT4G20940	144.816780625121	-0.827459822336568	0.286002135078123	-2.8931945634271	0.00381344990290086	0.0484580332198265
AT4G24670	296.308927154536	-0.554401200511124	0.152915668739734	-3.62553559802121	0.00028836316828544	0.00603216841911387
AT4G25080	220.377697296659	-0.725729961563918	0.203715283775815	-3.56247183869901	0.000367379327938312	0.00734967790218905
AT4G25100	1460.22995600575	-2.15383351162065	0.0904386800812979	-23.815401879865	2.31306616410433e-125	1.68183838401048e-122
AT4G26288	22.7349852647972	-1.76071817309649	0.522427999624655	-3.37025996761563	0.000750972994575455	0.0132399804043629
AT4G27410	587.536182853616	-0.759552628273004	0.122790329435263	-6.18576912177317	6.18004029886189e-10	3.58000905884071e-08
AT4G28530	183.070702402134	-0.658501890107584	0.208434770690977	-3.15927082571012	0.00158164438430472	0.0245224657995951
AT4G29905	879.820243027092	-1.19977671616218	0.17598662192036	-6.81743136535183	9.26826580492083e-12	6.38662263929936e-10
AT4G30170	4796.3622719924	-0.728060589125785	0.0930756853228121	-7.82224258248188	5.18904894679624e-15	4.37665144368582e-13
AT4G31010	86.9076496484801	-0.828812015663452	0.255836308692169	-3.23961841030433	0.00119689758664841	0.0195641724899755
AT4G32870	312.757269876235	-0.647374880192903	0.186474505796402	-3.47165355085978	0.000517263416433575	0.00978207748781916
AT4G33050	369.165069442885	-0.627865434827143	0.169348859303334	-3.70752680242459	0.000209293271298012	0.00453096295543109
AT4G33720	5149.21223018773	-1.4111732986925	0.0891459372104077	-15.82992274075	1.93458587352365e-56	6.04949454099053e-54
AT4G33960	145.192007052217	-0.66541009232742	0.205202390256572	-3.2427014690006	0.00118402202587186	0.0193988255147894
AT4G34740	381.948162926331	-0.513507827899565	0.13346438435364	-3.84752704166322	0.000119316110915929	0.00279234130385492
AT4G35090	5633.98582324067	-0.630425876763842	0.095055311176746	-6.63220044161054	3.30719049566862e-11	2.1523277404836e-09
AT4G35440	56.9963831882219	-1.41978579164433	0.309306045312359	-4.59022968726825	4.42758516737275e-06	0.000149855635375958
AT4G36050	162.497167708579	-0.851687784017513	0.202748019499952	-4.2007206093459	2.66066766114313e-05	0.000742101035752169
AT4G36060	243.695743719105	-1.05040477563594	0.19396284224503	-5.4154948622014	6.11194271936187e-08	2.73622981274872e-06
AT4G36220	522.568001698283	-1.29755219543065	0.171277479633017	-7.57573148677114	3.57109734259332e-14	2.85227873355768e-12
AT4G36670	454.42249616169	-1.16246004291537	0.142175332418582	-8.17624283439651	2.92831543739704e-16	2.5835338624667e-14
AT4G37530	567.083588705184	-0.500566088462261	0.11880815042601	-4.21323020910082	2.51744245289426e-05	0.000709662988793159
AT4G37580	33.891669765754	-1.14159631275288	0.394125109524589	-2.89653281449111	0.00377311180012067	0.0480724081071567
AT4G37700	77.9836517961695	-2.26210878162354	0.318403336692238	-7.10453855516613	1.20725216473097e-12	8.8697279252673e-11
AT4G38970	89.2936036428712	-0.903678238999092	0.293307611740399	-3.08099143297692	0.00206312584804604	0.0302946181280632
AT4G40010	167.80232439853	-1.16015083514111	0.194620251895046	-5.96110026497523	2.50545168517218e-09	1.33408975337224e-07
AT5G00650	19.7207820319145	-2.46707828136129	0.593987466952457	-4.15341807465907	3.27545514198301e-05	0.000888883489367486
AT5G01600	1382.34651287544	-2.283199379769	0.0930289457634081	-24.5428921184988	5.15091124498665e-133	4.52550477132452e-130
AT5G01740	185.857626405041	-1.51771440265219	0.202524469138023	-7.49398040203156	6.68157049923706e-14	5.31651303950614e-12
AT5G04060	516.049912789128	-0.614472627197732	0.109705165230046	-5.6011275850979	2.1296191215445e-08	1.01595359268976e-06
AT5G04140	184.697531027531	-0.679801051158973	0.171624438396445	-3.96098048454302	7.46426337490372e-05	0.00186041911965981
AT5G04340	480.179927792901	-1.05659559064539	0.244391373501054	-4.3233751482674	1.53660113119805e-05	0.000457638014865002
AT5G04590	6011.31241285836	-0.651842166288558	0.0555334059235605	-11.7378387917678	8.15436417712981e-32	1.59206410221258e-29
AT5G04800	3037.55869987336	-0.503997441212532	0.084957390187081	-5.93235550318461	2.98619164370329e-09	1.57417092497819e-07
AT5G04885	388.054996723974	-0.589762255674562	0.136532290599503	-4.31958076060219	1.56325893424257e-05	0.000464265885738575
